VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
TAXI,BROOKLYN,PASSENGER VEHICLE,Outside Car Distraction
BICYCLE,MANHATTAN,TAXI,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,Other Vehicular
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Driver Inexperience
OTHER,BRONX,LARGE COM VEH(6 OR MORE TIRES),Unspecified
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Physical Disability
TAXI,MANHATTAN,SPORT UTILITY / STATION WAGON,Other Vehicular
TAXI,BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Aggressive Driving/Road Rage
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
BICYCLE,BRONX,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Alcohol Involvement
PICK-UP TRUCK,STATEN ISLAND,PASSENGER VEHICLE,Driver Inattention/Distraction
LARGE COM VEH(6 OR MORE TIRES),BROOKLYN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Prescription Medication
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,View Obstructed/Limited
SPORT UTILITY / STATION WAGON,QUEENS,PASSENGER VEHICLE,View Obstructed/Limited
BUS,BROOKLYN,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,MANHATTAN,PASSENGER VEHICLE,Other Vehicular
PASSENGER VEHICLE,STATEN ISLAND,BUS,Driver Inattention/Distraction
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Failure to Keep Right
PASSENGER VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Pavement Slippery
PASSENGER VEHICLE,MANHATTAN,PICK-UP TRUCK,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Pavement Slippery
SPORT UTILITY / STATION WAGON,BROOKLYN,BUS,Unspecified
LARGE COM VEH(6 OR MORE TIRES),QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
